rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/n_updates,train/approx_kl,train/loss,train/entropy_loss,train/clip_range
103.07,536576,262,0.8499598899999999,16943,31,0.6687823832035065,0.000259251,-0.03685185949628552,0.23486328125,0.0007336106182265212,783,0.13228324,-0.06092013046145439,-0.5462245950475335,0.2
101.83,538624,263,0.8733015999999999,17011,31,0.7438045144081116,0.000259251,-0.03567591427903002,0.22770182291666666,0.0007065701041331826,786,0.09760828,-0.07200010865926743,-0.5217088153585792,0.2
99.65,540672,264,0.8785377,17078,31,0.7833273857831955,0.000259251,-0.02818308638234157,0.18196614583333334,0.0005641055013256846,789,0.09206728,-0.04757537320256233,-0.3976048760426541,0.2
95.1,542720,265,0.8663021299999998,17142,31,0.7243097424507141,0.000259251,-0.026555077793697517,0.18424479166666666,0.0007686628990389485,792,0.12157756,-0.0791938528418541,-0.37260376879324514,0.2
91.03,544768,266,0.86271192,17206,31,0.7193858325481415,0.000259251,-0.02710246671146403,0.1787109375,0.0007162899685984788,795,0.088262215,-0.06570389121770859,-0.34753811825066805,0.2
90.85,546816,267,0.8726530299999999,17284,31,0.6877414286136627,0.000259251,-0.026434094567472737,0.16796875,0.000767205385879303,798,0.10292208,-0.07202193886041641,-0.37494456861168146,0.2
92.02,548864,268,0.8622514999999998,17356,31,0.717848390340805,0.000259251,-0.034023178285375856,0.20833333333333334,0.0007427042625446726,801,0.09338716,-0.08231129497289658,-0.5580452686796585,0.2
94.07,550912,269,0.8837260400000001,17416,31,0.7037120759487152,0.000259251,-0.035548522437845044,0.20345052083333334,0.0007461735015870848,804,0.09020278,-0.05989876016974449,-0.557701265749832,0.2
95.74,552960,270,0.8776337699999999,17472,31,0.6798095107078552,0.000259251,-0.03516473663815608,0.19759114583333334,0.0007793077550862412,807,0.11231032,-0.06494192034006119,-0.45562685498346883,0.2
96.94,555008,271,0.8744710299999998,17533,31,0.709799736738205,0.000259251,-0.032537361733072125,0.21012369791666666,0.0006917658850701022,810,0.09752306,-0.07490351796150208,-0.49196884222328663,0.2
94.6,557056,272,0.8737116900000004,17593,31,0.7230143547058105,0.000259251,-0.03469479349829877,0.18831380208333334,0.0006386887253029272,813,0.10643977,-0.05278080329298973,-0.44102522265166044,0.2
96.48,559104,273,0.8835961599999999,17658,31,0.7602884471416473,0.000259251,-0.024905016121920198,0.17464192708333334,0.0006228021581288582,816,0.109732255,-0.04163360968232155,-0.424349232421567,0.2
94.41,561152,274,0.8819866699999999,17719,31,0.8022110015153885,0.000259251,-0.03785200453906631,0.18147786458333334,0.0006418338540849314,819,0.085776195,-0.05737282708287239,-0.47662152722477913,0.2
92.13,563200,275,0.8619295799999999,17778,31,0.7954099178314209,0.000259251,-0.03196615329943597,0.15885416666666666,0.0005651240953739034,822,0.08772962,-0.05517175421118736,-0.3734130106555919,0.2
92.66,565248,276,0.8691705000000001,17844,31,0.7887880653142929,0.000259251,-0.026284229611822713,0.16617838541666666,0.0005687226275767898,825,0.083836555,-0.03034164384007454,-0.37353665257493657,0.2
88.84,567296,277,0.8676846100000002,17912,31,0.7576361298561096,0.000259251,-0.030990903983668733,0.1669921875,0.0006746798968985482,828,0.10229338,-0.04758324846625328,-0.36659297890340287,0.2
89.8,569344,278,0.8552563899999999,17974,31,0.8049449920654297,0.000259251,-0.02761812647804618,0.15999348958333334,0.0005243360888016468,831,0.12594011,-0.05856729671359062,-0.3255038096879919,0.2
90.18,571392,279,0.8679753800000001,18040,31,0.8371075540781021,0.000259251,-0.02675968185455228,0.18798828125,0.00042711343833919574,834,0.170629,-0.03938101604580879,-0.36578336109717685,0.2
90.98,573440,280,0.87942011,18108,31,0.795224592089653,0.000259251,-0.024353044175465282,0.150390625,0.0005935256118997737,837,0.1032787,-0.048471029847860336,-0.3043682179413736,0.2
89.72,575488,281,0.8870583299999999,18173,31,0.7954891175031662,0.000259251,-0.02953392794976632,0.1572265625,0.0006445684180107492,840,0.08580008,-0.05252096801996231,-0.353907726239413,0.2
88.47,577536,282,0.9010969200000001,18234,31,0.7111827433109283,0.000259251,-0.022320583016456414,0.11555989583333333,0.000749726835541272,843,0.086808875,-0.041787464171648026,-0.24035187981401882,0.2
74.91,579584,283,0.74009759,18300,31,0.7050701975822449,0.000259251,-0.020021292807844777,0.12581380208333334,0.0007790719576708701,846,0.19872275,-0.04708239808678627,-0.2167966524915149,0.2
64.26,581632,284,0.5880143,18362,31,0.1516321301460266,0.000259251,-0.03034032428210291,0.24983723958333334,0.0013692841627441037,849,0.15346906,-0.08018799871206284,-0.5145194763317704,0.2
64.01,583680,285,0.5446630400000001,18422,31,0.3042904734611511,0.000259251,-0.03414268292059811,0.2810872395833333,0.0012732082523143617,852,0.25961697,-0.0735277459025383,-0.4940517482658227,0.2
72.46,585728,286,0.62344204,18491,31,0.3794335126876831,0.000259251,-0.03071370590866233,0.23779296875,0.0011504480177488101,855,0.14827906,-0.08174077421426773,-0.4681403186793129,0.2
85.46,587776,287,0.65619283,18553,31,0.7049109935760498,0.000259251,-0.02906200784491375,0.20052083333333334,0.000503301783586115,858,0.08801169,-0.0660310685634613,-0.43124693414817256,0.2
96.72,589824,288,0.7730943600000001,18614,31,0.8184361755847931,0.000259251,-0.04014031849995566,0.2600911458333333,0.00045287976445251843,861,0.08261991,-0.08849017322063446,-0.9357898601641258,0.2
109.51,591872,289,0.7928281899999999,18678,31,0.7010824680328369,0.000259251,-0.03574241606596237,0.18929036458333334,0.0007775620849012436,864,0.079249755,-0.06220034509897232,-0.5361502313365539,0.2
116.3,593920,290,0.8374870900000001,18742,31,0.7852352410554886,0.000259251,-0.0425395819474943,0.2698567708333333,0.000553422109381548,867,0.101408936,-0.07588773965835571,-0.8624651624510685,0.2
120.46,595968,291,0.8742357599999999,18801,31,0.824369266629219,0.000259251,-0.03606793298968114,0.22932942708333334,0.000585533650337311,870,0.08322658,-0.042035721242427826,-0.6579462171842655,0.2
121.09,598016,292,0.8873447,18862,31,0.763048380613327,0.000259251,-0.03162857915352409,0.18587239583333334,0.0007419626275198729,873,0.084941044,-0.05115749314427376,-0.5334403039887547,0.2
109.43,600064,293,0.89465482,18924,31,0.7494751513004303,0.000259251,-0.027952198482428987,0.17805989583333334,0.0007184602964116493,876,0.123783305,-0.04920570179820061,-0.442180762377878,0.2
95.28,602112,294,0.8921607200000001,18994,31,0.7482428252696991,0.000259251,-0.023675726299795013,0.13297526041666666,0.0006686553530623011,879,0.081848614,-0.050630390644073486,-0.28457791249578196,0.2
92.28,604160,295,0.89507216,19072,31,0.7100737392902374,0.000259251,-0.026819348509889096,0.1259765625,0.0007447664990346917,882,0.11164176,-0.04118078202009201,-0.2620100184964637,0.2
86.93,606208,296,0.9047711300000002,19128,31,0.7670183181762695,0.000259251,-0.031331959209637716,0.15690104166666666,0.0007218715751757069,885,0.0972002,-0.061998363584280014,-0.37495322913552326,0.2
84.34,608256,297,0.9107539499999997,19193,31,0.7122684121131897,0.000259251,-0.017695609926401328,0.09830729166666667,0.0006875601229694439,888,0.0900049,-0.03693049028515816,-0.1700724308223774,0.2
85.37,610304,298,0.9180894699999999,19255,31,0.6259632706642151,0.000259251,-0.014636577592076113,0.10677083333333333,0.000794338642663206,891,0.068647295,-0.05424131453037262,-0.18269008219552538,0.2
85.16,612352,299,0.9229857400000001,19321,31,0.7245821058750153,0.000259251,-0.022947215154999867,0.11783854166666667,0.0006927589444482388,894,0.1394341,-0.027769118547439575,-0.2058792095631361,0.2
83.85,614400,300,0.91384148,19395,31,0.693775087594986,0.000259251,-0.015039920350924755,0.10546875,0.0006456673593978243,897,0.07184586,-0.04930657148361206,-0.1981943652499467,0.2
88.36,616448,301,0.9021817200000001,19457,31,0.7149963974952698,0.000259251,-0.03152722129986311,0.17740885416666666,0.0006930795913528224,900,0.12584238,-0.08481790125370026,-0.3776529571041465,0.2
91.53,618496,302,0.8942894800000001,19523,31,0.8094418346881866,0.000259251,-0.033922510027574994,0.21923828125,0.00042773008256820805,903,0.122950345,-0.06943557411432266,-0.4562420904015501,0.2
92.09,620544,303,0.8693791099999999,19591,31,0.8229673802852631,0.000259251,-0.029931673993511747,0.21077473958333334,0.0005071713838636546,906,0.096552,-0.05499963462352753,-0.44004567215840024,0.2
