time/fps,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/approx_kl,train/loss,train/value_loss,train/policy_gradient_loss
30,616448,137.14,301,0.63432482,20110,0.6183384358882904,3000,-0.5360873678699136,0.2,0.0003,0.580078125,1.4109952,-0.11854929476976395,0.0019563062023735256,-0.0881888302101288
30,618496,138.77,302,0.6585077100000001,20173,0.5494885146617889,3010,-0.4474101720377803,0.2,0.0003,0.557763671875,1.4271809,-0.11126723140478134,0.0028411234856321244,-0.09062862310674973
30,620544,136.06,303,0.65636922,20243,0.5986196100711823,3020,-0.49337784890085457,0.2,0.0003,0.5734375,1.2227781,-0.1214078739285469,0.0020618590224330546,-0.09307819813257083
30,622592,134.77,304,0.6619048200000001,20306,0.5511113703250885,3030,-0.46544849053025245,0.2,0.0003,0.5603515625,1.2869732,-0.1093575581908226,0.0027202646353543967,-0.09228438500431366
30,624640,136.18,305,0.6694512899999999,20369,0.5996960997581482,3040,-0.4971773066557944,0.2,0.0003,0.583544921875,1.3146029,-0.1126818060874939,0.002522322046752379,-0.09089499007386621
30,626688,136.64,306,0.67349122,20438,0.6173251569271088,3050,-0.4763384472578764,0.2,0.0003,0.545263671875,1.3122782,-0.10709214955568314,0.002685661372197501,-0.08491150163172279
30,628736,137.65,307,0.6700550100000001,20496,0.453335702419281,3060,-0.41392719647847115,0.2,0.0003,0.54716796875,1.4228384,-0.10878495872020721,0.003481285304951598,-0.08496753697982058
30,630784,134.19,308,0.64436735,20567,0.4705919623374939,3070,-0.42018809262663126,0.2,0.0003,0.545947265625,1.608643,-0.1149805560708046,0.0028513311241113114,-0.08262182814069093
30,632832,136.47,309,0.63549063,20628,0.5150144994258881,3080,-0.4488547961227596,0.2,0.0003,0.543896484375,1.5852888,-0.09233789891004562,0.0031812761717446847,-0.08426353603135794
30,634880,133.19,310,0.6149547500000001,20696,0.5420739650726318,3090,-0.5290341201238334,0.2,0.0003,0.599462890625,1.4743302,-0.10977543145418167,0.002320288913870172,-0.09565698687802068
30,636928,129.78,311,0.58871693,20759,0.46718645095825195,3100,-0.45044442075304686,0.2,0.0003,0.530859375,1.5132616,-0.12580204010009766,0.0031499493587034523,-0.08700413007172755
30,638976,137.55,312,0.60665326,20823,0.5579467415809631,3110,-0.48729573283344507,0.2,0.0003,0.545263671875,1.4132046,-0.11337712407112122,0.0026515731380641226,-0.08896663834457286
30,641024,144.36,313,0.64343046,20893,0.6313041150569916,3120,-0.49074799278751013,0.2,0.0003,0.56318359375,1.3510833,-0.12430422753095627,0.002135465726860275,-0.09114423608989455
30,643072,148.06,314,0.65628077,20955,0.6476917266845703,3130,-0.49626000663265585,0.2,0.0003,0.585595703125,1.3573539,-0.13843853771686554,0.001986479115112161,-0.09513255918282085
30,645120,153.33,315,0.6736531899999999,21017,0.7016386687755585,3140,-0.49264552565291525,0.2,0.0003,0.57353515625,1.6146908,-0.11369796097278595,0.002004270408360753,-0.089224364887923
30,647168,151.84,316,0.66440102,21083,0.665103942155838,3150,-0.48403235180303456,0.2,0.0003,0.564111328125,1.6841658,-0.1054932028055191,0.002173799912816321,-0.08661506354110315
30,649216,152.7,317,0.6621949799999999,21156,0.6002306342124939,3160,-0.43270473219454286,0.2,0.0003,0.55537109375,1.410326,-0.10608155280351639,0.0025562187725881812,-0.08606862655142322
30,651264,156.82,318,0.67028148,21224,0.6849278509616852,3170,-0.46796481711789967,0.2,0.0003,0.572216796875,1.5162456,-0.11552033573389053,0.002563826402911218,-0.08646714442875236
30,653312,151.17,319,0.6578444600000001,21296,0.6067801713943481,3180,-0.3960225174203515,0.2,0.0003,0.541259765625,1.7375356,-0.09166620671749115,0.002675796851144696,-0.07319005016470329
30,655360,146.28,320,0.64072049,21360,0.5504910349845886,3190,-0.393238359130919,0.2,0.0003,0.52177734375,1.460263,-0.10362854599952698,0.0030233475654313224,-0.0817772247872199
30,657408,127.51,321,0.5757385100000001,21429,0.6234687268733978,3200,-0.45185639150440693,0.2,0.0003,0.546142578125,1.5584793,-0.1020144522190094,0.0026982858276824117,-0.07871044317143969
30,659456,119.46,322,0.55082719,21498,0.4307425022125244,3210,-0.45078083090484145,0.2,0.0003,0.564306640625,1.5575163,-0.11976604163646698,0.004296737770346226,-0.08381909164017998
