time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/clip_range,train/loss,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction,train/n_updates
53,108544,3535,57.85,30,0.48510396,0.2,-0.048279426991939545,-0.015611229241282368,0.000259251,-0.4973769470428427,0.034075335,0.43572568893432617,0.001004443279574237,0.17073567708333334,156
54,110592,3597,58.35,30,0.48011933,0.2,-0.035838283598423004,-0.008419191261054948,0.000259251,-0.5205778796225786,0.02795362,0.46876198053359985,0.0009372509436313218,0.17203776041666666,159
55,112640,3665,64.83,30,0.52770741,0.2,-0.04822053760290146,-0.01522356471590077,0.000259251,-0.5595788906017939,0.024593342,0.44825029373168945,0.0009614954778953688,0.15804036458333334,162
56,114688,3737,68.6,30,0.55749518,0.2,-0.03864165022969246,-0.016246126615442336,0.000259251,-0.573915089170138,0.02895257,0.41034162044525146,0.0009799320065819,0.17838541666666666,165
57,116736,3802,69.6,30,0.55363984,0.2,-0.04526032507419586,-0.018969267907474812,0.000259251,-0.5009495510409275,0.044280365,0.44638592004776,0.0011101169693574775,0.16064453125,168
58,118784,3885,67.39,30,0.53326076,0.2,-0.035809263586997986,-0.01524694102893894,0.000259251,-0.5696969131628672,0.03182253,0.48555004596710205,0.000979602791327731,0.185546875,171
59,120832,3946,70.13,30,0.51772819,0.2,-0.04946118965744972,-0.024101703641160082,0.000259251,-0.6220517735928297,0.03269338,0.49511992931365967,0.0008833381889417069,0.1845703125,174
60,122880,4008,69.54,30,0.52046721,0.2,-0.051209066063165665,-0.014122032870848974,0.000259251,-0.5375019529213508,0.034335844,0.42685192823410034,0.0008327799302302689,0.18245442708333334,177
61,124928,4078,72.1,30,0.53893873,0.2,-0.04036249965429306,-0.015109034609243585,0.000259251,-0.5203482179592053,0.03600491,0.5382739305496216,0.0008845545371514163,0.16471354166666666,180
62,126976,4144,71.11,30,0.5525166899999999,0.2,-0.04565173014998436,-0.018090546674405534,0.000259251,-0.5201240554451942,0.03208115,0.5496053397655487,0.0008192637284688923,0.17594401041666666,183
63,129024,4201,70.55,30,0.5480092999999999,0.2,-0.03243129700422287,-0.014277531862414131,0.000259251,-0.5707600560660163,0.03148509,0.5681242346763611,0.000780494510763674,0.17073567708333334,186
64,131072,4272,71.03,30,0.54760731,0.2,-0.03100045770406723,-0.017250466994786013,0.000259251,-0.5806391319880883,0.030727644,0.4311422109603882,0.0009246899359519981,0.1767578125,189
65,133120,4336,66.83,30,0.5261909,0.2,0.013068558648228645,-0.01730226903843383,0.000259251,-0.595182289990286,0.039519165,0.4498039484024048,0.0008600564879088779,0.18994140625,192
66,135168,4393,61.21,30,0.47050971000000014,0.2,-0.08448854833841324,-0.021704300180620823,0.000259251,-0.5806117026756207,0.050181985,0.39111560583114624,0.0010044395573155878,0.1845703125,195
67,137216,4464,56.88,30,0.44072433999999994,0.2,-0.03520994633436203,-0.013937177252955735,0.000259251,-0.47423017645875615,0.073842056,-0.20214509963989258,0.00129690399444371,0.17952473958333334,198
68,139264,4527,52.55,30,0.40429713,0.2,-0.006030653603374958,-0.01110441202763468,0.000259251,-0.4679967351257801,0.04768802,0.4306504726409912,0.0010514333874501365,0.14892578125,201
