time/fps,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
151,77948,514,0.259494,45.97,2420,0.10466547999999999,4.5448588934959844e-05,0.0001,6986
148,78859,532,0.2508394999999999,48.79,2440,0.11056009,2.865380884031765e-05,0.0001,7214
145,79978,549,0.24020900000000012,52.29,2460,0.11287338999999999,0.00015675195027142763,0.0001,7494
142,80792,565,0.23247600000000035,45.78,2480,0.10590418000000001,0.00012054183753207326,0.0001,7697
140,81622,580,0.22459100000000032,44.55,2500,0.10817104000000001,0.00010351903620176017,0.0001,7905
137,82753,601,0.2138465000000005,48.05,2520,0.11406717999999999,8.810573490336537e-05,0.0001,8188
135,83509,615,0.20666449999999958,46.5,2540,0.11294532000000002,3.400247805984691e-05,0.0001,8377
132,84439,635,0.19782949999999966,44.61,2560,0.11474697,6.995334842940792e-05,0.0001,8609
130,85467,654,0.18806350000000038,46.75,2580,0.11371357000000001,2.8419190130080096e-05,0.0001,8866
129,86199,667,0.1811094999999998,45.77,2600,0.11399005,8.79665749380365e-05,0.0001,9049
126,87080,686,0.17273999999999967,43.27,2620,0.11464228,4.6357868995983154e-05,0.0001,9269
125,87998,701,0.1640189999999998,44.89,2640,0.11619694999999998,3.940847818739712e-05,0.0001,9499
124,88678,713,0.15755899999999978,42.39,2660,0.11234636,2.4455039238091558e-05,0.0001,9669
122,89688,729,0.1479640000000001,42.21,2680,0.11337667,4.292125959182158e-05,0.0001,9921
121,90654,747,0.13878699999999988,44.55,2700,0.11654967000000001,2.59135940723354e-05,0.0001,10163
118,91875,777,0.12718749999999968,47.95,2720,0.12072123,6.453794776462018e-05,0.0001,10468
115,93010,805,0.11640499999999965,50.12,2740,0.12289051,3.6242519854567945e-05,0.0001,10752
112,94540,842,0.10187000000000057,58.62,2760,0.13822906,3.3288306440226734e-05,0.0001,11134
110,95784,868,0.09005200000000035,60.96,2780,0.14287284,3.722137262229808e-05,0.0001,11445
107,97301,901,0.07564050000000044,66.47,2800,0.15112026,5.698427412426099e-05,0.0001,11825
105,99035,942,0.05916750000000026,71.6,2820,0.15711877999999999,3.098661545664072e-05,0.0001,12258
103,100112,969,0.05,71.02,2840,0.16378951,3.7462297768797725e-05,0.0001,12527
101,101707,1005,0.05,71.67,2860,0.16333321,2.8835607736255042e-05,0.0001,12926
98,104019,1055,0.05,82.35,2880,0.17336245000000003,3.026794183824677e-05,0.0001,13504
96,105597,1088,0.05,82.96,2900,0.17539100000000002,6.522036710521206e-05,0.0001,13899
95,107058,1118,0.05,80.23,2920,0.17664944999999999,5.989218334434554e-05,0.0001,14264
94,108696,1150,0.05,85.84,2940,0.17865914,8.18986154627055e-06,0.0001,14673
93,110014,1175,0.05,83.07,2960,0.17499788000000002,1.6611160390311852e-05,0.0001,15003
92,112117,1214,0.05,80.98,2980,0.18875326,2.643621883180458e-05,0.0001,15529
91,114147,1252,0.05,85.5,3000,0.19952570000000003,4.05107784899883e-05,0.0001,16036
89,117911,1322,0.05,108.53,3020,0.24429800000000002,3.6553570680553094e-05,0.0001,16977
87,121058,1381,0.05,123.62,3040,0.27193205,4.622107371687889e-05,0.0001,17764
86,124065,1441,0.05,140.51,3060,0.30639310000000003,1.4449053196585737e-05,0.0001,18516
84,127297,1505,0.05,151.8,3080,0.33040273,2.5069322873605415e-05,0.0001,19324
83,129926,1559,0.05,157.79,3100,0.34822279999999994,2.3539058020105585e-05,0.0001,19981
81,133032,1627,0.05,151.21,3120,0.34353571000000005,3.966685471823439e-05,0.0001,20757
80,136353,1690,0.05,152.95,3140,0.35876639,5.507291643880308e-05,0.0001,21588
79,138978,1738,0.05,149.13,3160,0.37320260999999993,9.071038948604837e-05,0.0001,22244
79,141160,1782,0.05,138.63,3180,0.36781974999999995,0.0001290893997065723,0.0001,22789
78,143251,1821,0.05,133.25,3200,0.38013371,3.669433499453589e-05,0.0001,23312
77,145952,1875,0.05,129.2,3220,0.3874794299999999,1.165883986686822e-05,0.0001,23987
77,148110,1919,0.05,117.57,3240,0.38932060000000007,1.6611544197076e-05,0.0001,24527
76,151058,1978,0.05,120.8,3260,0.40396498000000003,1.6762849554652348e-05,0.0001,25264
75,153743,2023,0.05,125.83,3280,0.4280952,1.2392085409373976e-05,0.0001,25935
75,157469,2089,0.05,142.18,3300,0.45081513,1.2785138096660376e-05,0.0001,26867
75,159458,2125,0.05,135.06,3320,0.44092081,9.420827154826839e-06,0.0001,27364
74,162240,2178,0.05,141.3,3340,0.45378806999999993,2.4247856345027685e-05,0.0001,28059
74,164791,2226,0.05,137.33,3360,0.43954865000000004,1.2224707461427897e-05,0.0001,28697
73,167405,2274,0.05,136.62,3380,0.4511704899999999,1.563091791467741e-05,0.0001,29351
73,170022,2322,0.05,125.53,3400,0.4355670300000001,6.974948337301612e-05,0.0001,30005
72,172880,2377,0.05,134.22,3420,0.46323961,5.533497824217193e-05,0.0001,30719
72,175502,2427,0.05,132.62,3440,0.46831237000000003,5.529493137146346e-05,0.0001,31375
72,178025,2470,0.05,132.34,3460,0.49456261999999995,3.382522118045017e-05,0.0001,32006
71,180870,2519,0.05,134.65,3480,0.4928457200000001,4.409283064887859e-05,0.0001,32717
71,183644,2571,0.05,136.22,3500,0.5049288300000001,6.697312346659601e-05,0.0001,33410
71,187057,2634,0.05,141.77,3520,0.5163412,1.7948568711290136e-05,0.0001,34264
70,190254,2685,0.05,147.52,3540,0.53303041,5.37938394700177e-05,0.0001,35063
70,192275,2719,0.05,142.5,3560,0.52154535,3.346059384057298e-05,0.0001,35568
70,194976,2763,0.05,141.06,3580,0.54077245,5.689753743354231e-05,0.0001,36243
70,198128,2817,0.05,144.84,3600,0.56385998,0.0001500547950854525,0.0001,37031
70,201265,2871,0.05,142.08,3620,0.5819718100000001,0.00011496935621835291,0.0001,37816
