time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,train/value_loss,train/policy_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/explained_variance
38912,0.07812761000000004,19,647,73.89,60,6.694161891937256,0.283447802066803,1e-05,18,-1.945858359336853,0.029797792434692383
40960,0.06342311999999999,20,681,87.05,60,7.278018474578857,0.5947734117507935,1e-05,19,-1.9458527565002441,0.02913588285446167
43008,0.05879686999999999,21,716,86.22,60,5.372011661529541,-2.0347046852111816,1e-05,20,-1.9458460807800293,0.026206791400909424
45056,0.07601864999999997,22,752,86.02,59,5.5242743492126465,-0.796631395816803,1e-05,21,-1.9458506107330322,0.04798060655593872
47104,0.08085054,23,785,89.88,59,6.870974540710449,0.8336073160171509,1e-05,22,-1.9458558559417725,0.031556785106658936
49152,0.058563949999999955,24,818,82.28,60,6.940340518951416,0.8466750383377075,1e-05,23,-1.9458574056625366,0.03796803951263428
51200,0.026501300000000016,25,851,78.99,60,5.253585338592529,-0.9521289467811584,1e-05,24,-1.9458556175231934,0.032055020332336426
53248,0.031371249999999996,26,886,87.78,60,5.454741477966309,0.38233497738838196,1e-05,25,-1.9458656311035156,0.024386465549468994
55296,0.06833460000000001,27,919,92.32,60,5.454537391662598,-2.7193171977996826,1e-05,26,-1.9458688497543335,0.0583004355430603
57344,0.07114184000000001,28,957,92.01,59,4.923708915710449,0.6800354719161987,1e-05,27,-1.9458701610565186,0.043865859508514404
59392,0.040185519999999954,29,988,92.47,60,6.837637424468994,-0.016021687537431717,1e-05,28,-1.9458643198013306,0.042223215103149414
61440,0.06393620000000004,30,1023,82.86,60,7.702347278594971,0.5826482772827148,1e-05,29,-1.945868968963623,0.04911696910858154
63488,0.051274669999999974,31,1061,78.93,59,5.956308841705322,-0.5835397839546204,1e-05,30,-1.945861577987671,0.038636982440948486
65536,0.08110148999999998,32,1097,85.19,59,4.569487571716309,-0.2357792854309082,1e-05,31,-1.9458587169647217,0.04172390699386597
67584,0.08810094000000003,33,1128,91.27,59,6.090466499328613,0.22260168194770813,1e-05,32,-1.9458627700805664,0.051511168479919434
69632,0.09092093999999996,34,1163,98.8,59,5.38803768157959,-0.6784251928329468,1e-05,33,-1.94585382938385,0.07942146062850952
71680,0.021087189999999992,35,1199,94.68,59,5.143035888671875,-1.0173248052597046,1e-05,34,-1.9458574056625366,0.06275308132171631
73728,0.05861388000000005,36,1233,96.18,59,5.890559673309326,0.6987830400466919,1e-05,35,-1.9458585977554321,0.059939682483673096
75776,0.0736623,37,1267,103.44,59,4.948948860168457,-0.9577540159225464,1e-05,36,-1.9458547830581665,0.06905710697174072
77824,0.07952808000000004,38,1302,92.24,59,6.813752174377441,1.0402733087539673,1e-05,37,-1.9458547830581665,0.05961716175079346
79872,0.03553800000000008,39,1334,96.48,59,7.493032455444336,1.4301592111587524,1e-05,38,-1.945847749710083,0.04785311222076416
81920,0.04972032000000002,40,1371,87.73,59,4.036323547363281,-0.9568911790847778,1e-05,39,-1.9458459615707397,0.10226166248321533
83968,0.03059072999999999,41,1410,80.07,59,6.615018367767334,0.7822250723838806,1e-05,40,-1.9458508491516113,0.055523455142974854
