time/fps,rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/loss,train/learning_rate,train/n_updates
50,0.12840476000000003,0.05,3900,2505,41.64,125448,4.006695762654999e-05,1.9070714918537712e-05,7630
49,0.13416814,0.05,3920,2528,40.74,126155,2.7932486318604788e-05,1.9070714918537712e-05,7700
49,0.13792720000000003,0.05,3940,2560,44.81,127229,3.1207962820190005e-05,1.9070714918537712e-05,7770
49,0.14362098999999998,0.05,3960,2588,45.95,128182,3.152416174998507e-05,1.9070714918537712e-05,7830
49,0.14362992,0.05,3980,2610,40.87,128829,4.4152353621029763e-05,1.9070714918537712e-05,7900
49,0.15177288,0.05,4000,2639,44.66,129914,4.3805123368656496e-05,1.9070714918537712e-05,7970
49,0.15869277,0.05,4020,2669,48.06,130961,2.8518205544969534e-05,1.9070714918537712e-05,8030
48,0.15379875,0.05,4040,2685,41.92,131421,2.657311988514266e-05,1.9070714918537712e-05,8100
48,0.14538948000000002,0.05,4060,2707,39.46,132128,2.098542986459506e-05,1.9070714918537712e-05,8170
48,0.14794016000000001,0.05,4080,2740,44.17,133246,3.0498147862090263e-05,1.9070714918537712e-05,8230
48,0.14222311999999998,0.05,4100,2764,40.05,133919,4.260418527337606e-05,1.9070714918537712e-05,8300
48,0.13141655,0.05,4120,2786,36.04,134565,2.7896166557184188e-05,1.9070714918537712e-05,8370
48,0.13495444,0.05,4140,2806,37.2,135141,2.2700256431562592e-05,1.9070714918537712e-05,8430
48,0.15158703,0.05,4160,2849,46.58,136786,2.9633507892867783e-05,1.9070714918537712e-05,8500
47,0.15738989,0.05,4180,2877,43.9,137636,2.9548324891948142e-05,1.9070714918537712e-05,8570
47,0.15689635,0.05,4200,2905,47.73,138692,3.063125955122814e-05,1.9070714918537712e-05,8630
47,0.15646627999999999,0.05,4220,2930,49.51,139516,3.345478712617478e-05,1.9070714918537712e-05,8700
47,0.15813724999999998,0.05,4240,2952,50.14,140155,2.4898665560613154e-05,1.9070714918537712e-05,8770
47,0.15292265,0.05,4260,2974,40.76,140862,2.199788505095057e-05,1.9070714918537712e-05,8830
47,0.14122478000000002,0.05,4280,2992,37.28,141364,3.984879740528413e-05,1.9070714918537712e-05,8900
47,0.14188097,0.05,4300,3015,34.56,142148,3.211129342162167e-05,1.9070714918537712e-05,8970
47,0.14028067,0.05,4320,3039,34.55,142971,2.9044343955320072e-05,1.9070714918537712e-05,9030
46,0.14041972000000003,0.05,4340,3058,34.06,143561,2.3793992659193465e-05,1.9070714918537712e-05,9100
46,0.12950939000000003,0.05,4360,3077,33.14,144176,2.5021657165780198e-05,1.9070714918537712e-05,9170
46,0.13181273999999998,0.05,4380,3094,33.28,144692,3.3345131669193506e-05,1.9070714918537712e-05,9230
46,0.13002824,0.05,4400,3114,31.26,145274,4.4226676118341855e-05,1.9070714918537712e-05,9300
46,0.13280036000000003,0.05,4420,3136,30.15,145986,2.540255900385091e-05,1.9070714918537712e-05,9370
46,0.12586224999999998,0.05,4440,3152,29.04,146465,3.9170507170638304e-05,1.9070714918537712e-05,9430
46,0.12938518,0.05,4460,3172,28.82,147058,3.4034482268907595e-05,1.9070714918537712e-05,9500
46,0.13236619,0.05,4480,3194,30.0,147692,2.196848795392725e-05,1.9070714918537712e-05,9570
46,0.13032824,0.05,4500,3213,29.29,148203,3.6730253805217215e-05,1.9070714918537712e-05,9630
45,0.12735183,0.05,4520,3235,28.47,148833,2.6913741885437047e-05,1.9070714918537712e-05,9700
45,0.13813637,0.05,4540,3260,30.55,149520,1.8564064339443577e-05,1.9070714918537712e-05,9770
45,0.13435751,0.05,4560,3277,28.97,149955,2.8541426263473114e-05,1.9070714918537712e-05,9830
45,0.13684881999999995,0.05,4580,3301,31.72,150864,3.4157716163463193e-05,1.9070714918537712e-05,9900
45,0.1502053,0.05,4600,3337,38.39,152042,2.4067747972367215e-05,1.9070714918537712e-05,9970
45,0.15220960000000003,0.05,4620,3357,38.05,152638,3.092890256084502e-05,1.9070714918537712e-05,10030
45,0.14711129,0.05,4640,3384,40.24,153544,2.9600139441754436e-05,1.9070714918537712e-05,10100
45,0.14872408,0.05,4660,3404,41.65,154120,4.4287995478953235e-05,1.9070714918537712e-05,10170
45,0.14979944,0.05,4680,3422,38.7,154734,1.6095661658255266e-05,1.9070714918537712e-05,10230
45,0.13700902999999998,0.05,4700,3438,31.65,155207,2.203526914854592e-05,1.9070714918537712e-05,10300
45,0.14395915,0.05,4720,3466,33.45,155983,3.797578683588654e-05,1.9070714918537712e-05,10370
44,0.15012897,0.05,4740,3485,30.47,156591,6.649716260653804e-06,1.9070714918537712e-05,10430
44,0.15401801,0.05,4760,3508,31.53,157273,3.1216225170282994e-05,1.9070714918537712e-05,10500
44,0.15646613,0.05,4780,3539,35.09,158243,3.154625792376464e-05,1.9070714918537712e-05,10570
