rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,time/fps,time/total_timesteps,train/n_updates,train/loss,train/learning_rate
0.08252946,2460,26.55,0.2952425000000005,887,83,74185,3020,7.35391151465592e-05,1.9070714918537712e-05
0.08441298000000001,2480,27.13,0.2902455000000004,907,82,74711,3090,7.710927893640473e-05,1.9070714918537712e-05
0.08455420999999998,2500,27.33,0.28448850000000037,926,81,75317,3160,6.742346686223754e-05,1.9070714918537712e-05
0.08389699,2520,27.33,0.2791305000000004,943,80,75881,3220,7.95569136244012e-05,1.9070714918537712e-05
0.08788017,2540,27.61,0.27383900000000005,964,79,76438,3290,6.31063783657737e-05,1.9070714918537712e-05
0.08735436,2560,28.09,0.26855699999999993,983,78,76994,3360,7.73209842009237e-05,1.9070714918537712e-05
0.08611326000000002,2580,28.57,0.26310400000000034,1000,77,77568,3420,0.00011673028202494607,1.9070714918537712e-05
0.08787054999999999,2600,32.74,0.2533855000000004,1027,76,78591,3490,6.514175820484524e-05,1.9070714918537712e-05
0.08680489,2620,37.05,0.24393299999999962,1055,75,79586,3560,5.277959025988821e-05,1.9070714918537712e-05
0.0882633,2640,38.71,0.23706450000000046,1077,74,80309,3620,6.846886881248793e-05,1.9070714918537712e-05
0.08979932,2660,38.55,0.2319345000000006,1097,73,80849,3690,6.376151995937107e-05,1.9070714918537712e-05
0.09824535000000002,2680,40.67,0.22446750000000004,1120,72,81635,3760,6.19088381426991e-05,1.9070714918537712e-05
0.09926713000000001,2700,36.53,0.21868200000000015,1138,72,82244,3820,8.267445045930799e-05,1.9070714918537712e-05
0.10231074000000001,2720,33.65,0.21196550000000003,1162,71,82951,3890,9.061678993020905e-05,1.9070714918537712e-05
0.10373225,2740,37.84,0.20111650000000036,1196,70,84093,3960,6.955377211852465e-05,1.9070714918537712e-05
0.10595858,2760,37.15,0.19664200000000032,1214,69,84564,4020,7.00663165844162e-05,1.9070714918537712e-05
0.10260883,2780,35.98,0.19028650000000003,1236,68,85233,4090,8.061428579821949e-05,1.9070714918537712e-05
0.10554882000000002,2800,39.66,0.18100500000000008,1266,68,86210,4160,7.970058650244027e-05,1.9070714918537712e-05
0.10361427000000001,2820,37.98,0.17588450000000044,1283,67,86749,4220,7.283348477358232e-05,1.9070714918537712e-05
0.10215993000000001,2840,31.99,0.17072599999999982,1305,66,87292,4290,6.331060649245046e-05,1.9070714918537712e-05
0.10239477999999996,2860,34.34,0.1640189999999998,1330,66,87998,4360,5.474809759107302e-05,1.9070714918537712e-05
0.10152368,2880,33.58,0.1583855000000003,1348,65,88591,4420,6.127011101852986e-05,1.9070714918537712e-05
0.09849965000000001,2900,35.48,0.14729900000000007,1384,64,89758,4490,6.924859126229421e-05,1.9070714918537712e-05
0.10065241000000003,2920,38.8,0.13902450000000055,1412,64,90629,4560,7.487689117624541e-05,1.9070714918537712e-05
0.10268289000000001,2940,40.96,0.13181399999999976,1434,63,91388,4620,5.891270830034045e-05,1.9070714918537712e-05
0.10584492,2960,44.26,0.12197199999999953,1468,62,92424,4690,4.667858356697252e-05,1.9070714918537712e-05
0.10910379999999999,2980,45.52,0.11514150000000023,1492,62,93143,4760,6.516887269754079e-05,1.9070714918537712e-05
0.11805939999999998,3000,47.83,0.10186050000000024,1528,61,94541,4820,5.557796666835202e-05,1.9070714918537712e-05
0.11789180000000002,3020,44.59,0.09666399999999953,1547,61,95088,4890,4.8770621469884644e-05,1.9070714918537712e-05
0.11900283,3040,43.05,0.09091649999999973,1570,60,95693,4960,4.418560138219618e-05,1.9070714918537712e-05
0.11460699999999999,3060,40.03,0.08394349999999962,1592,60,96427,5020,4.985009454685496e-05,1.9070714918537712e-05
0.11478574,3080,41.83,0.07540299999999989,1620,60,97326,5090,4.831276087315928e-05,1.9070714918537712e-05
0.11379441,3100,38.9,0.06490549999999973,1657,59,98431,5160,4.8608543511363675e-05,1.9070714918537712e-05
0.11330120999999999,3120,38.66,0.05993700000000013,1676,59,98954,5220,3.1462211063626454e-05,1.9070714918537712e-05
0.11345678,3140,39.67,0.05323000000000033,1699,58,99660,5290,4.256874753991724e-05,1.9070714918537712e-05
0.11718282000000001,3160,38.97,0.05,1724,58,100324,5360,3.6048409219802126e-05,1.9070714918537712e-05
0.12076150999999997,3180,41.68,0.05,1758,57,101494,5420,3.9641876628593306e-05,1.9070714918537712e-05
0.11792989999999998,3200,37.97,0.05,1781,57,102228,5490,4.3973333322355754e-05,1.9070714918537712e-05
0.12464475000000003,3220,38.81,0.05,1803,57,102835,5560,4.173417810307001e-05,1.9070714918537712e-05
0.12610751,3240,40.63,0.05,1832,56,103723,5620,3.9694701354164866e-05,1.9070714918537712e-05
0.12517050000000002,3260,39.15,0.05,1853,56,104239,5690,2.1659939193341415e-05,1.9070714918537712e-05
0.13093677,3280,36.03,0.05,1879,55,105097,5760,3.152181598125026e-05,1.9070714918537712e-05
0.13068380000000002,3300,34.28,0.05,1896,55,105656,5820,3.31965916302579e-05,1.9070714918537712e-05
0.12967193000000002,3320,34.29,0.05,1918,55,106264,5890,2.983305994348484e-05,1.9070714918537712e-05
0.13527333,3340,31.74,0.05,1940,55,106897,5960,2.926441966337734e-05,1.9070714918537712e-05
0.1380236,3360,40.9,0.05,1979,54,108329,6020,3.568961574273999e-05,1.9070714918537712e-05
0.13270008,3380,40.53,0.05,2004,54,109150,6090,2.30330628255615e-05,1.9070714918537712e-05
0.13454889000000003,3400,41.09,0.05,2025,54,109765,6160,2.3119252819014947e-05,1.9070714918537712e-05
0.14317944000000002,3420,43.98,0.05,2053,53,110662,6220,3.435677026573103e-05,1.9070714918537712e-05
0.13753959999999998,3440,44.37,0.05,2077,53,111334,6290,4.1936083744076316e-05,1.9070714918537712e-05
0.14243434,3460,39.04,0.05,2106,53,112233,6360,3.4154164359279095e-05,1.9070714918537712e-05
0.14749396000000004,3480,38.2,0.05,2131,52,112970,6420,3.337682328492519e-05,1.9070714918537712e-05
0.15999445,3500,48.32,0.05,2173,52,114597,6490,2.2722192079527302e-05,1.9070714918537712e-05
0.16126217999999998,3520,47.46,0.05,2201,52,115408,6560,3.127139352727681e-05,1.9070714918537712e-05
0.17010186000000005,3540,51.22,0.05,2234,52,116456,6620,1.6212691480177455e-05,1.9070714918537712e-05
0.17114690000000002,3560,48.38,0.05,2256,51,117071,6690,2.8405421653587835e-05,1.9070714918537712e-05
0.16722747,3580,48.32,0.05,2280,51,117802,6760,2.254023024761409e-05,1.9070714918537712e-05
0.15688795,3600,38.01,0.05,2302,51,118398,6820,3.7364636455095024e-05,1.9070714918537712e-05
0.15379098000000002,3620,36.02,0.05,2322,51,119010,6890,4.40855277247465e-05,1.9070714918537712e-05
0.16870681000000004,3640,36.35,0.05,2360,50,120091,6960,5.5485751363448796e-05,1.9070714918537712e-05
0.17617368000000005,3660,40.0,0.05,2387,50,121071,7020,3.6968652239011135e-05,1.9070714918537712e-05
0.18090599000000002,3680,42.67,0.05,2417,50,122069,7090,2.121975298905454e-05,1.9070714918537712e-05
0.18288803000000006,3700,44.56,0.05,2441,50,122854,7160,4.880927290287218e-05,1.9070714918537712e-05
0.18080923999999995,3720,43.75,0.05,2460,50,123385,7220,2.4559140683777514e-05,1.9070714918537712e-05
0.16149574,3740,39.47,0.05,2483,49,124038,7290,3.26055472214648e-05,1.9070714918537712e-05
0.15273495,3760,35.43,0.05,2504,49,124614,7360,4.140119690418942e-05,1.9070714918537712e-05
0.15169141000000003,3780,32.37,0.05,2525,49,125306,7420,2.9856407309125643e-05,1.9070714918537712e-05
0.15378452,3800,32.84,0.05,2554,49,126138,7490,2.803256452352798e-05,1.9070714918537712e-05
0.15493722999999998,3820,33.98,0.05,2576,49,126783,7560,2.090630982820585e-05,1.9070714918537712e-05
0.16173368,3840,34.73,0.05,2600,49,127511,7620,2.9270788036228624e-05,1.9070714918537712e-05
0.16299935000000002,3860,34.79,0.05,2619,48,128093,7690,4.375955040814006e-05,1.9070714918537712e-05
0.16030683,3880,34.37,0.05,2638,48,128743,7760,2.504518738533079e-05,1.9070714918537712e-05
0.16802071999999996,3900,36.26,0.05,2669,48,129764,7820,3.371893149051175e-05,1.9070714918537712e-05
0.16250274999999997,3920,34.7,0.05,2688,48,130253,7890,3.6926275151927256e-05,1.9070714918537712e-05
0.15581567,3940,36.16,0.05,2714,48,131127,7960,4.398028531795717e-05,1.9070714918537712e-05
0.16391959,3960,39.16,0.05,2741,48,132009,8020,2.7513263466971695e-05,1.9070714918537712e-05
0.16792010999999998,3980,40.77,0.05,2767,47,132820,8090,1.827193623284984e-05,1.9070714918537712e-05
0.17121362000000004,4000,43.18,0.05,2802,47,134082,8160,3.87527866223536e-05,1.9070714918537712e-05
0.1813499,4020,45.47,0.05,2826,47,134800,8220,4.801102804776747e-05,1.9070714918537712e-05
0.18827327000000005,4040,43.29,0.05,2848,47,135456,8290,4.086431181349326e-05,1.9070714918537712e-05
0.18964398,4060,43.06,0.05,2874,47,136315,8360,3.435787912167143e-05,1.9070714918537712e-05
0.18825837,4080,41.04,0.05,2891,47,136924,8420,3.7028223869128854e-05,1.9070714918537712e-05
0.19311468999999998,4100,38.21,0.05,2919,47,137903,8490,2.9586094979094923e-05,1.9070714918537712e-05
0.18592697000000002,4120,37.35,0.05,2938,47,138535,8560,2.3944943086462446e-05,1.9070714918537712e-05
0.20317061999999997,4140,45.09,0.05,2980,46,139965,8620,4.431557508723927e-05,1.9070714918537712e-05
0.19652440000000002,4160,41.89,0.05,2999,46,140504,8690,3.4464526015653975e-05,1.9070714918537712e-05
0.20676541,4180,44.7,0.05,3026,46,141394,8760,4.632191221389803e-05,1.9070714918537712e-05
0.1880132,4200,40.26,0.05,3044,46,141929,8820,3.510484998514585e-05,1.9070714918537712e-05
