rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/loss,train/n_updates,train/learning_rate
32.42,51141,0.5141605000000001,1600,0.029989259999999997,85,597,7.041137905616779e-06,285,0.0001
36.13,52197,0.5041284999999995,1620,0.028692380000000003,100,517,6.307943749561673e-06,549,0.0001
36.01,52750,0.4988750000000004,1640,0.027928179999999997,108,486,4.574689683067845e-06,687,0.0001
34.73,53252,0.4941060000000004,1660,0.026034869999999995,115,461,1.2813381545129232e-05,812,0.0001
31.26,53692,0.4899260000000004,1680,0.024511130000000002,121,441,6.159860640764236e-05,922,0.0001
29.79,54120,0.4858600000000006,1700,0.023346030000000004,127,423,0.00016621328541077673,1029,0.0001
24.52,54649,0.4808345000000005,1720,0.024003910000000003,135,403,0.0001001718410407193,1162,0.0001
26.69,55419,0.4735195000000001,1740,0.02755519999999999,146,377,4.4287276978138834e-05,1354,0.0001
26.39,55891,0.4690354999999998,1760,0.03054596000000001,154,362,6.399871199391782e-05,1472,0.0001
26.23,56315,0.4650075,1780,0.03033939,160,351,7.087975518516032e-06,1578,0.0001
26.89,56809,0.46031450000000007,1800,0.031600579999999996,167,339,3.116654261248186e-05,1702,0.0001
30.47,57696,0.4518880000000003,1820,0.03952906,179,322,0.00012934274855069816,1923,0.0001
27.44,58163,0.44745150000000034,1840,0.03912475,185,313,0.00013850537652615458,2040,0.0001
27.6,58651,0.44281550000000003,1860,0.0403112,191,305,1.881612479337491e-05,2162,0.0001
27.85,59100,0.43854999999999966,1880,0.04201494,199,296,9.800170664675534e-05,2274,0.0001
29.06,59715,0.43270750000000047,1900,0.04828189,209,285,7.005071893217973e-06,2428,0.0001
26.93,60389,0.42630449999999986,1920,0.040337769999999995,224,268,7.672395440749824e-05,2597,0.0001
29.63,61126,0.419303,1940,0.04769845999999999,240,253,1.5851306670811027e-05,2781,0.0001
39.57,62608,0.40522400000000014,1960,0.05781013000000001,266,234,0.00017289048992097378,3151,0.0001
42.96,63396,0.3977379999999999,1980,0.07050293,278,227,4.653317228076048e-05,3348,0.0001
47.1,64425,0.38796250000000054,2000,0.07525876,297,216,3.17965641443152e-05,3606,0.0001
46.32,65021,0.38230050000000015,2020,0.08175581000000001,307,211,0.00028036057483404875,3755,0.0001
46.73,65799,0.3749095000000007,2040,0.08594456999999998,320,205,6.051173841115087e-05,3949,0.0001
39.65,66573,0.3675565000000002,2060,0.08368004,331,200,0.0001139396263170056,4143,0.0001
41.36,67532,0.3584459999999997,2080,0.08337978999999997,346,194,7.760788867017254e-05,4382,0.0001
40.02,68427,0.34994349999999996,2100,0.08260109,360,189,1.7004978872137144e-05,4606,0.0001
39.07,68928,0.34518400000000016,2120,0.08203933,371,185,4.033562436234206e-05,4731,0.0001
39.4,69739,0.33747950000000015,2140,0.08187797999999999,386,180,0.00013393250992521644,4934,0.0001
37.15,70288,0.3322639999999999,2160,0.07696815000000001,399,176,6.14192322245799e-05,5071,0.0001
34.0,70932,0.32614600000000005,2180,0.0749543,411,172,3.3982330933213234e-05,5232,0.0001
33.41,71768,0.3182039999999996,2200,0.07807212000000001,424,168,5.9277495893184096e-05,5441,0.0001
48.07,73735,0.2995175000000001,2220,0.09706849999999999,456,161,0.00010581174865365028,5933,0.0001
51.11,74850,0.2889250000000003,2240,0.10219136000000001,476,157,0.00010845164797501639,6212,0.0001
54.75,75763,0.2802514999999999,2260,0.11070450000000001,491,154,5.7432655012235045e-05,6440,0.0001
58.11,76743,0.27094149999999995,2280,0.11422263999999999,508,150,7.432338315993547e-05,6685,0.0001
58.16,77584,0.2629520000000002,2300,0.11729534,525,147,1.9540699213393964e-05,6895,0.0001
49.97,78732,0.25204599999999977,2320,0.10805577000000001,547,143,8.599288412369788e-05,7182,0.0001
47.39,79589,0.24390449999999997,2340,0.10227525999999999,561,141,2.840633715095464e-05,7397,0.0001
49.52,80715,0.23320750000000023,2360,0.10449223999999999,584,138,2.8480322725954466e-05,7678,0.0001
