time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/exploration_rate,train/loss,train/learning_rate,train/n_updates
7871,41,0.37796967000000004,90.6,328140,6260,0.05,3.391659847693518e-05,1.9070714918537712e-05,15570
7919,41,0.38886709,97.24,330293,6280,0.05,4.594353795255302e-05,1.9070714918537712e-05,15640
7954,41,0.3944594800000001,98.88,331751,6300,0.05,7.949209684738889e-05,1.9070714918537712e-05,15700
8000,41,0.40397211,99.31,333754,6320,0.05,6.09114325925475e-05,1.9070714918537712e-05,15770
8041,41,0.41054941999999994,96.92,335512,6340,0.05,6.620278036280069e-05,1.9070714918537712e-05,15840
8115,41,0.42492176,105.69,338709,6360,0.05,6.193097533468972e-05,1.9070714918537712e-05,15900
8164,41,0.4230336400000001,104.54,340747,6380,0.05,6.45443910798349e-05,1.9070714918537712e-05,15970
8218,41,0.4429995400000001,115.76,343327,6400,0.05,5.307376995915547e-05,1.9070714918537712e-05,16040
8260,41,0.43217463,112.76,345030,6420,0.05,6.232700143300462e-05,1.9070714918537712e-05,16100
8306,41,0.42039115000000005,113.55,346867,6440,0.05,5.9617953684210076e-05,1.9070714918537712e-05,16170
8371,41,0.41232581999999995,107.29,349438,6460,0.05,5.588912399616675e-05,1.9070714918537712e-05,16240
8425,41,0.40056897999999996,110.59,351806,6480,0.05,6.541753082274226e-05,1.9070714918537712e-05,16300
8468,41,0.41543561000000007,102.38,353565,6500,0.05,7.370535631707753e-05,1.9070714918537712e-05,16370
8504,41,0.4337592899999999,99.69,354999,6520,0.05,8.913706751627615e-05,1.9070714918537712e-05,16440
8551,41,0.44386664000000003,100.49,356916,6540,0.05,4.515234086284181e-05,1.9070714918537712e-05,16500
8586,41,0.43624263999999996,87.96,358234,6560,0.05,4.861511361013982e-05,1.9070714918537712e-05,16570
8614,41,0.42689043,74.66,359272,6580,0.05,4.791535138792824e-05,1.9070714918537712e-05,16640
8658,41,0.38849398,74.57,361022,6600,0.05,5.3717482114734596e-05,1.9070714918537712e-05,16700
8691,41,0.3623248700000001,73.2,362319,6620,0.05,7.693505085626384e-05,1.9070714918537712e-05,16770
8734,41,0.34949604,69.93,363909,6640,0.05,3.756857458938612e-05,1.9070714918537712e-05,16840
8769,41,0.37004672,71.13,365347,6660,0.05,4.140798882872332e-05,1.9070714918537712e-05,16900
8799,41,0.37874186000000004,73.11,366583,6680,0.05,7.701916783844353e-05,1.9070714918537712e-05,16970
8838,41,0.39029443,72.36,368258,6700,0.05,5.295756727718981e-05,1.9070714918537712e-05,17040
8877,41,0.4148371699999999,74.52,369771,6720,0.05,6.965250686334912e-05,1.9070714918537712e-05,17100
8919,41,0.42975104999999997,75.34,371443,6740,0.05,7.576009302283637e-05,1.9070714918537712e-05,17170
