time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/episodes,time/fps,rollout/exploration_rate,train/n_updates,train/loss,train/learning_rate
11406,0.7664993700000001,516557,170.77,5820,45,0.05,116639,6.12894946243614e-05,0.0001
11480,0.7471191699999998,519521,167.57,5840,45,0.05,117380,8.483063720632344e-05,0.0001
11557,0.72344839,522861,164.49,5860,45,0.05,118215,7.099288632161915e-05,0.0001
11658,0.7253696,527027,166.12,5880,45,0.05,119256,6.60654332023114e-05,0.0001
11735,0.71597659,530255,166.37,5900,45,0.05,120063,0.0005092461360618472,0.0001
11818,0.72953882,533708,171.51,5920,45,0.05,120926,7.546226697741076e-05,0.0001
11912,0.75134166,537508,179.87,5940,45,0.05,121876,6.996629963396117e-05,0.0001
11987,0.7509865500000003,540512,176.51,5960,45,0.05,122627,8.663785411044955e-05,0.0001
12067,0.7163384500000001,543838,168.11,5980,45,0.05,123459,5.8038604038301855e-05,0.0001
12153,0.72247862,547305,170.5,6000,45,0.05,124326,4.1660809074528515e-05,0.0001
12243,0.7158584400000001,551106,173.98,6020,45,0.05,125276,9.259658691007644e-05,0.0001
12322,0.7294201499999999,554288,167.8,6040,44,0.05,126071,7.07110739313066e-05,0.0001
12403,0.7211378700000001,557698,171.86,6060,44,0.05,126924,7.39134120522067e-05,0.0001
12482,0.7498821499999999,561001,171.63,6080,44,0.05,127750,5.649357626680285e-05,0.0001
12557,0.72590173,564032,167.27,6100,44,0.05,128507,6.576098530786112e-05,0.0001
12647,0.73447458,567849,167.43,6120,44,0.05,129462,6.004000169923529e-05,0.0001
12711,0.7218562900000001,570582,162.94,6140,44,0.05,130145,0.00011116686800960451,0.0001
12787,0.7335462700000001,573589,158.91,6160,44,0.05,130897,0.00014291881234385073,0.0001
12885,0.7354887400000001,577659,166.58,6180,44,0.05,131914,3.774266588152386e-05,0.0001
13002,0.7445764499999998,582492,184.6,6200,44,0.05,133122,5.915079600526951e-05,0.0001
13116,0.7532915999999998,587246,193.97,6220,44,0.05,134311,0.00010885656229220331,0.0001
13215,0.7532554200000001,591404,208.22,6240,44,0.05,135350,7.076352630974725e-05,0.0001
13313,0.7573528799999998,595419,218.3,6260,44,0.05,136354,0.00010978005593642592,0.0001
13405,0.7586979599999999,599330,216.71,6280,44,0.05,137332,7.236520468723029e-05,0.0001
13511,0.7722535700000001,603770,212.78,6300,44,0.05,138442,7.285740866791457e-05,0.0001
13594,0.74852717,607193,199.47,6320,44,0.05,139298,0.0001683450536802411,0.0001
13684,0.74897115,610990,195.86,6340,44,0.05,140247,5.7291377743240446e-05,0.0001
13726,0.67512771,612605,171.86,6360,44,0.05,140651,5.048383172834292e-05,0.0001
