rollout/ep_rew_mean,time/total_timesteps,time/episodes
0.16018152,139428,4200
0.16298802,140225,4220
0.1716105799999999,141096,4240
0.16599639,141860,4260
0.16262808,142423,4280
0.1625023,143271,4300
0.15968355,143793,4320
0.16693923,144708,4340
0.1647142899999999,145215,4360
0.17230672,145883,4380
0.18206562,147452,4400
0.1825803899999999,148436,4420
0.17069529,149040,4440
0.17266375,149588,4460
0.16268052,150038,4480
0.1559191399999999,151137,4500
0.1586216799999999,151745,4520
0.15245904,152265,4540
0.15715156,153003,4560
0.16127553,153760,4580
0.1570835099999999,154498,4600
0.1522491299999999,155431,4620
0.15475404,156003,4640
0.15424745,156854,4660
0.15988801,157988,4680
0.16260628,158666,4700
0.16845795,159509,4720
0.17268134,160036,4740
0.16667286,160575,4760
0.16678618,161207,4780
0.1634861,161814,4800
0.16054106,163090,4820
0.1569682899999999,163647,4840
0.1665981199999999,164488,4860
0.16143663,165104,4880
0.1557033299999999,165638,4900
0.16923159,166621,4920
0.1758622,167533,4940
0.16366726,168083,4960
0.1656012,168664,4980
0.17311421,169452,5000
0.1633958199999999,170206,5020
0.15832769,170825,5040
