time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss
81208,45.38,0.11468978999999997,604,134,2500,0.22852400000000062,7801,0.0001,1.1517293387441896e-05
81935,48.19,0.11494957000000001,617,132,2520,0.22161750000000024,7983,0.0001,5.841951133334078e-05
82754,49.84,0.11396422,631,131,2540,0.21383700000000017,8188,0.0001,2.7600322937360033e-05
83485,46.33,0.11152080999999998,645,129,2560,0.2068924999999998,8371,0.0001,3.36535886162892e-05
84932,52.99,0.12314374000000003,669,126,2580,0.19314600000000004,8732,0.0001,7.535763143096119e-05
86670,54.62,0.13167648999999998,697,124,2600,0.17663499999999988,9167,0.0001,2.4376915462198667e-05
87570,56.35,0.13459692999999998,715,122,2620,0.1680849999999997,9392,0.0001,2.4005119485082105e-05
89072,63.18,0.14095563,751,118,2640,0.15381599999999962,9767,0.0001,1.5452014849870466e-05
90936,74.51,0.15183077,796,114,2660,0.1361079999999999,10233,0.0001,4.1504761611577123e-05
93145,82.13,0.16285606000000002,843,110,2680,0.11512249999999968,10786,0.0001,3.793456926359795e-05
95431,87.61,0.17915989999999998,893,106,2700,0.0934054999999997,11357,0.0001,3.7279405660228804e-05
97039,94.69,0.19743265000000004,934,103,2720,0.0781295000000003,11759,0.0001,2.2134870960144326e-05
99685,106.13,0.21949273000000002,992,100,2740,0.05299249999999989,12421,0.0001,5.38743770448491e-05
101740,108.04,0.24016411000000004,1037,98,2760,0.05,12934,0.0001,5.21557085448876e-05
104739,115.94,0.28113356,1096,95,2780,0.05,13684,0.0001,1.540998346172273e-05
107393,119.62,0.31231138,1149,93,2800,0.05,14348,0.0001,9.283517283620313e-05
109615,125.76,0.35391508,1189,92,2820,0.05,14903,0.0001,1.5202438589767553e-05
111625,119.4,0.37090101000000003,1225,91,2840,0.05,15406,0.0001,8.20499990368262e-05
113760,120.2,0.39162876999999996,1264,89,2860,0.05,15939,0.0001,0.00013557479542214423
117271,125.32,0.40683433999999996,1329,88,2880,0.05,16817,0.0001,2.1793261112179607e-05
119230,118.37,0.40537265000000006,1370,86,2900,0.05,17307,0.0001,2.5538718546158634e-05
121474,118.59,0.40446780000000004,1416,85,2920,0.05,17868,0.0001,4.79089685541112e-05
123474,118.49,0.42118588999999995,1455,84,2940,0.05,18368,0.0001,2.1704352548113093e-05
125684,119.24,0.42715377000000004,1498,83,2960,0.05,18920,0.0001,3.993628706666641e-05
128141,108.7,0.43555158,1554,82,2980,0.05,19535,0.0001,0.00010350825323257595
130758,115.28,0.4496452,1605,81,3000,0.05,20189,0.0001,2.266365845571272e-05
132450,109.76,0.44845544000000004,1638,80,3020,0.05,20612,0.0001,1.684815106273163e-05
134183,107.09,0.447599,1671,80,3040,0.05,21045,0.0001,5.0328613724559546e-05
135971,102.87,0.44138782000000004,1703,79,3060,0.05,21492,0.0001,2.362307714065537e-05
137738,95.97,0.41136174,1740,79,3080,0.05,21934,0.0001,3.538130840752274e-05
139904,91.46,0.41009567,1780,78,3100,0.05,22475,0.0001,4.915512181469239e-05
142126,96.76,0.42885751000000005,1826,77,3120,0.05,23031,0.0001,1.8937193090096116e-05
144498,103.15,0.45075475000000004,1875,77,3140,0.05,23624,0.0001,2.8754191589541733e-05
147740,117.69,0.49280186,1941,76,3160,0.05,24434,0.0001,3.21789484587498e-05
149974,122.36,0.50827638,1977,75,3180,0.05,24993,0.0001,1.862793942564167e-05
