time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates
445,0.09201962999999999,34.5,78683,2520,176,0.25251149999999956,1.9070714918537712e-05,6.832227054474061e-05,2940
458,0.09250567,34.28,79325,2540,172,0.24641250000000026,1.9070714918537712e-05,6.441028617700794e-05,3010
470,0.09180822000000002,33.99,79976,2560,169,0.24022799999999966,1.9070714918537712e-05,6.863733251520898e-05,3080
482,0.08886832,35.12,80698,2580,167,0.2333689999999996,1.9070714918537712e-05,6.0652035790553783e-05,3140
492,0.08881704999999998,32.61,81268,2600,165,0.2279540000000001,1.9070714918537712e-05,6.906746111781103e-05,3210
502,0.09047333000000002,32.15,81898,2620,162,0.22196899999999975,1.9070714918537712e-05,7.78904155595228e-05,3280
513,0.09511543,32.43,82568,2640,160,0.21560400000000035,1.9070714918537712e-05,6.51549727535894e-05,3340
531,0.09580935,36.45,83621,2660,157,0.20560050000000063,1.9070714918537712e-05,4.623662362064351e-05,3410
549,0.1001075,40.75,84773,2680,154,0.19465650000000012,1.9070714918537712e-05,5.0609638583409834e-05,3480
565,0.1060345,44.54,85722,2700,151,0.1856410000000004,1.9070714918537712e-05,4.311662014515605e-05,3540
577,0.11132407999999999,45.92,86490,2720,149,0.17834500000000042,1.9070714918537712e-05,5.0635762181627794e-05,3610
593,0.10967402999999999,49.43,87511,2740,147,0.1686455,1.9070714918537712e-05,5.870457134733442e-05,3680
602,0.11011042,44.76,88097,2760,146,0.16307850000000024,1.9070714918537712e-05,5.0180825928691776e-05,3740
619,0.11138930999999999,43.57,89130,2780,143,0.15326499999999965,1.9070714918537712e-05,6.396361932274886e-05,3810
639,0.10885838999999999,44.4,90162,2800,141,0.1434610000000004,1.9070714918537712e-05,4.431847796695365e-05,3880
652,0.10640346,46.21,91111,2820,139,0.13444550000000066,1.9070714918537712e-05,3.231716673326446e-05,3940
664,0.10970555999999998,43.86,91897,2840,138,0.1269785,1.9070714918537712e-05,5.616582548100269e-05,4010
679,0.11220930000000001,45.9,92687,2860,136,0.11947350000000034,1.9070714918537712e-05,2.5775893209356582e-05,4080
692,0.11277784,44.07,93537,2880,135,0.11139850000000018,1.9070714918537712e-05,2.879751846194267e-05,4140
701,0.11351878000000001,39.01,94063,2900,134,0.10640150000000004,1.9070714918537712e-05,4.1418088130740216e-05,4210
714,0.11496413999999998,37.1,94821,2920,132,0.09920049999999969,1.9070714918537712e-05,4.69764459921862e-05,4280
734,0.11479279999999999,41.06,96003,2940,130,0.08797149999999943,1.9070714918537712e-05,3.432532785154763e-05,4340
743,0.11534394,39.03,96590,2960,129,0.08239500000000055,1.9070714918537712e-05,6.022771704010666e-05,4410
752,0.11593875999999997,37.27,97264,2980,129,0.07599199999999995,1.9070714918537712e-05,4.4330615310173016e-05,4480
771,0.11736928999999999,44.85,98548,3000,127,0.06379400000000035,1.9070714918537712e-05,3.260629828218953e-05,4540
783,0.11867786000000002,43.52,99173,3020,126,0.05785650000000053,1.9070714918537712e-05,3.076764414799982e-05,4610
809,0.11966026999999997,45.23,100526,3040,124,0.05,1.9070714918537712e-05,2.7946108548349003e-05,4680
822,0.12356133999999998,46.51,101241,3060,123,0.05,1.9070714918537712e-05,2.868700294129667e-05,4740
836,0.12836037,45.3,101794,3080,121,0.05,1.9070714918537712e-05,1.7602049865672598e-05,4810
848,0.12853152,37.27,102275,3100,120,0.05,1.9070714918537712e-05,3.947997147406568e-05,4880
862,0.12846776000000001,39.3,103103,3120,119,0.05,1.9070714918537712e-05,3.708852991621825e-05,4940
881,0.13312226000000002,37.84,104310,3140,118,0.05,1.9070714918537712e-05,1.8628560701472453e-05,5010
895,0.13306181,39.31,105172,3160,117,0.05,1.9070714918537712e-05,1.5338199727921164e-05,5080
905,0.13125818,39.99,105793,3180,116,0.05,1.9070714918537712e-05,2.3703923034190666e-05,5140
915,0.13446246,41.49,106424,3200,116,0.05,1.9070714918537712e-05,1.2501694118327578e-05,5210
931,0.13844038,42.96,107399,3220,115,0.05,1.9070714918537712e-05,1.4438085645451793e-05,5280
942,0.13248201,37.18,108028,3240,114,0.05,1.9070714918537712e-05,2.4764834483903543e-05,5340
958,0.13554679,37.15,108887,3260,113,0.05,1.9070714918537712e-05,1.5037467846923391e-05,5410
971,0.13405298,36.67,109460,3280,112,0.05,1.9070714918537712e-05,1.9418774490986836e-05,5480
984,0.13080767999999998,36.88,110112,3300,111,0.05,1.9070714918537712e-05,1.134020121753565e-05,5540
993,0.13284011999999998,33.11,110710,3320,111,0.05,1.9070714918537712e-05,1.0649014029695536e-05,5610
1005,0.13778302,33.97,111425,3340,110,0.05,1.9070714918537712e-05,1.7708216228129457e-05,5680
1015,0.13964556000000003,31.54,112041,3360,110,0.05,1.9070714918537712e-05,2.1969607905703016e-05,5740
1025,0.1421797,30.85,112545,3380,109,0.05,1.9070714918537712e-05,1.7319217658950947e-05,5810
1042,0.15282064,32.93,113405,3400,108,0.05,1.9070714918537712e-05,2.3435728417098288e-05,5880
1052,0.14715248,32.28,113938,3420,108,0.05,1.9070714918537712e-05,1.5775375277371496e-05,5940
1062,0.14938131999999998,30.07,114432,3440,107,0.05,1.9070714918537712e-05,2.011083201978181e-05,6010
1071,0.14573527999999997,29.05,114946,3460,107,0.05,1.9070714918537712e-05,1.5192270211628056e-05,6080
1082,0.14896405000000001,31.08,115653,3480,106,0.05,1.9070714918537712e-05,1.0410076856715023e-05,6140
1090,0.14024223,27.64,116169,3500,106,0.05,1.9070714918537712e-05,3.401922460852802e-05,6210
1101,0.14588656,27.89,116727,3520,105,0.05,1.9070714918537712e-05,8.101372691271535e-06,6280
1111,0.14001286000000002,28.55,117287,3540,105,0.05,1.9070714918537712e-05,2.1985045987094053e-05,6340
1120,0.13692803,28.47,117793,3560,105,0.05,1.9070714918537712e-05,1.1324079059704672e-05,6410
1133,0.13685412000000002,29.72,118625,3580,104,0.05,1.9070714918537712e-05,1.161850868811598e-05,6480
1141,0.13623821000000003,30.11,119180,3600,104,0.05,1.9070714918537712e-05,2.2800497299613197e-05,6540
1153,0.13516678,30.75,119802,3620,103,0.05,1.9070714918537712e-05,4.059261286784022e-05,6610
1163,0.13485332,30.53,120340,3640,103,0.05,1.9070714918537712e-05,1.7665480982032022e-05,6680
1172,0.13925226000000002,31.08,120901,3660,103,0.05,1.9070714918537712e-05,1.5862404825384147e-05,6740
1190,0.13142310000000001,29.75,121600,3680,102,0.05,1.9070714918537712e-05,2.9333649445106856e-05,6810
1201,0.1343721,29.3,122110,3700,101,0.05,1.9070714918537712e-05,9.699689758235764e-06,6880
1211,0.13122827999999997,29.17,122719,3720,101,0.05,1.9070714918537712e-05,9.983929248846835e-06,6940
