time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/policy_loss,train/explained_variance,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates
17,141,34816,27.8,0.03681336999999999,245,-0.06917671114206314,-0.00015866756439208984,0.0014214339898899198,-1.9264494180679321,0.008304675227817087,16
18,141,36864,28.43,0.03178933,260,0.03850137069821358,-1.6570091247558594e-05,0.0005538471159525216,-1.9252105951309204,0.008304675227817087,17
19,142,38912,29.31,0.03725454,273,-0.009829157963395119,-2.396106719970703e-05,0.00017256953287869692,-1.9274508953094482,0.008304675227817087,18
20,142,40960,27.6,0.03516758,287,0.0031006522476673126,-1.2516975402832031e-05,0.0001689958735369146,-1.927386999130249,0.008304675227817087,19
21,142,43008,24.96,0.035343969999999995,300,-0.0013132048770785332,-2.47955322265625e-05,0.00013327359920367599,-1.9269347190856934,0.008304675227817087,20
22,142,45056,23.4,0.02095664,315,0.0010231599444523454,-1.4901161193847656e-05,0.00017495676001999527,-1.9262597560882568,0.008304675227817087,21
23,143,47104,26.09,0.02954232,327,-0.0019139652140438557,-9.5367431640625e-06,0.00012028270430164412,-1.924803614616394,0.008304675227817087,22
24,144,49152,22.9,0.015051670000000001,341,0.000902959203813225,-2.3603439331054688e-05,0.00013387830404099077,-1.9239475727081299,0.008304675227817087,23
25,144,51200,25.95,0.02740866,354,-0.0010943504748865962,-1.0251998901367188e-05,9.93253052001819e-05,-1.921863317489624,0.008304675227817087,24
26,144,53248,28.0,0.0319202,368,0.0009445195319131017,-6.198883056640625e-06,0.0001345958444289863,-1.9212621450424194,0.008304675227817087,25
27,144,55296,27.43,0.03357101,381,-0.0006838703993707895,-2.2172927856445312e-05,0.0001296679547522217,-1.91733717918396,0.008304675227817087,26
28,144,57344,26.32,0.03452108,395,0.00026642720331437886,-4.172325134277344e-06,0.00014141386782284826,-1.9150546789169312,0.008304675227817087,27
29,145,59392,25.25,0.025192370000000006,408,-0.00022673649073112756,-0.00019538402557373047,0.00013774399121757597,-1.911777138710022,0.008304675227817087,28
30,145,61440,22.86,0.027468020000000003,422,-0.0007811954710632563,-7.3909759521484375e-06,0.00011889144661836326,-1.9090170860290527,0.008304675227817087,29
31,145,63488,24.9,0.02519992,435,0.00035896452027373016,-4.172325134277344e-06,0.00012491810775827616,-1.9070379734039307,0.008304675227817087,30
32,145,65536,22.62,0.030556869999999993,448,-0.00047117494978010654,-7.867813110351562e-06,0.00012381005217321217,-1.902769923210144,0.008304675227817087,31
33,146,67584,23.05,0.02449678,461,0.0005195324774831533,-1.1682510375976562e-05,0.00015880689898040146,-1.8999967575073242,0.008304675227817087,32
34,146,69632,23.86,0.030563029999999995,474,-0.0014651045203208923,-7.3909759521484375e-06,0.0001151732139987871,-1.8961269855499268,0.008304675227817087,33
35,147,71680,21.96,0.02561745,486,0.0007928097620606422,-1.1444091796875e-05,0.0001381925685564056,-1.8908822536468506,0.008304675227817087,34
36,147,73728,23.38,0.030420899999999994,499,-0.0010443595238029957,-6.556510925292969e-06,0.00012941866589244455,-1.883880376815796,0.008304675227817087,35
37,147,75776,25.4,0.024970070000000004,512,0.0005804511019960046,-0.00015616416931152344,0.00013800304441247135,-1.8801826238632202,0.008304675227817087,36
38,148,77824,23.72,0.033937079999999994,525,-0.0016572929453104734,-7.510185241699219e-06,9.561776096234098e-05,-1.8777477741241455,0.008304675227817087,37
